country,country_code,country_iso,prefix,voice_rate_in_usd,voice_unit_in_seconds
Aruba,297,ABW,297,0.1164,60
Aruba,297,ABW,29756,0.2764,60
Aruba,297,ABW,29759,0.2764,60
Aruba,297,ABW,297600,0.2966,60
Aruba,297,ABW,297622,0.2966,60
Aruba,297,ABW,29763,0.2728,60
Aruba,297,ABW,29764,0.2728,60
Aruba,297,ABW,29766,0.2764,60
Aruba,297,ABW,29769,0.2764,60
Aruba,297,ABW,29773,0.2728,60
Aruba,297,ABW,29774,0.2728,60
Aruba,297,ABW,29796,0.2764,60
Aruba,297,ABW,29799,0.2764,60
Afghanistan,93,AFG,93,0.289,60
Afghanistan,93,AFG,9370,0.2864,60
Afghanistan,93,AFG,9372,0.2966,60
Afghanistan,93,AFG,9375,0.2788,60
Afghanistan,93,AFG,9376,0.3119,60
Afghanistan,93,AFG,9377,0.3119,60
Afghanistan,93,AFG,9378,0.2754,60
Afghanistan,93,AFG,9379,0.2966,60
Angola,244,AGO,244,0.1003,60
Angola,244,AGO,24491,0.12233,60
Angola,244,AGO,24492,0.224,60
Angola,244,AGO,24493,0.224,60
Angola,244,AGO,24494,0.28431,60
Anguilla,1264,AIA,1264,0.21255,60
Anguilla,1264,AIA,1264235,0.282,60
Anguilla,1264,AIA,1264469,0.282,60
Anguilla,1264,AIA,1264476,0.282,60
Anguilla,1264,AIA,1264536,0.282,60
Anguilla,1264,AIA,1264537,0.282,60
Albania,355,ALB,3553,0.1793,60
Albania,355,ALB,355422,0.1807,60
Albania,355,ALB,355423,0.1807,60
Albania,355,ALB,355424,0.1807,60
Albania,355,ALB,35543,0.1807,60
Albania,355,ALB,3554402,0.44266,60
Albania,355,ALB,355450,0.3254,60
Albania,355,ALB,35546,0.1793,60
Albania,355,ALB,35547,0.1793,60
Albania,355,ALB,35548,0.1793,60
Albania,355,ALB,35549,0.1793,60
Albania,355,ALB,3555,0.1793,60
Albania,355,ALB,35566,0.4741,60
Albania,355,ALB,35567,0.4706,60
Albania,355,ALB,35568,0.4612,60
Albania,355,ALB,35569,0.4606,60
Albania,355,ALB,35572,0.1793,60
Albania,355,ALB,3558,0.1793,60
Andorra,376,AND,376,0.0245,60
Andorra,376,AND,3763,0.2261,60
Andorra,376,AND,3764,0.2261,60
Andorra,376,AND,3766,0.2261,60
Netherlands Antilles,599,ANT,599,0.2065,60
Netherlands Antilles,599,ANT,5993180,0.1622,60
Netherlands Antilles,599,ANT,5993181,0.1593,60
Netherlands Antilles,599,ANT,5993182,0.1622,60
Netherlands Antilles,599,ANT,5993183,0.1622,60
Netherlands Antilles,599,ANT,5993184,0.1593,60
Netherlands Antilles,599,ANT,5993185,0.1593,60
Netherlands Antilles,599,ANT,5993186,0.1593,60
Netherlands Antilles,599,ANT,5993187,0.1593,60
Netherlands Antilles,599,ANT,599715,0.1164,60
