country,country_code,country_iso,prefix,voice_rate_in_usd,voice_unit_in_seconds
Aruba,297,ABW,297,0.1164,60
Aruba,297,ABW,29756,0.2764,60
Aruba,297,ABW,29759,0.2764,60
Aruba,297,ABW,297600,0.2966,60
Aruba,297,ABW,297622,0.2966,60
Afghanistan,93,AFG,93,0.289,60
Afghanistan,93,AFG,9370,0.2864,60
Afghanistan,93,AFG,9372,0.2966,60
Afghanistan,93,AFG,9375,0.2788,60
Afghanistan,93,AFG,9376,0.3119,60
Afghanistan,93,AFG,9377,0.3119,60
Afghanistan,93,AFG,9378,0.2754,60
Afghanistan,93,AFG,9379,0.2966,60
Angola,244,AGO,244,0.1003,60
Angola,244,AGO,24491,0.12233,60
Angola,244,AGO,24493,0.224,60
Albania,355,ALB,35543,0.1807,60
Albania,355,ALB,3554402,0.44266,60
Albania,355,ALB,355450,0.3254,60
Albania,355,ALB,35546,0.1793,60
Albania,355,ALB,35547,0.1793,60
Albania,355,ALB,35548,0.1793,60
Albania,355,ALB,35549,0.1793,60
Albania,355,ALB,3555,0.1793,60
Albania,355,ALB,3558,0.1793,60
Andorra,376,AND,376,0.0245,60
Andorra,376,AND,3763,0.2261,60
Andorra,376,AND,3764,0.2261,60
Andorra,376,AND,3766,0.2261,60
Netherlands Antilles,599,ANT,599,0.2065,60
Netherlands Antilles,599,ANT,5993180,0.1622,60
United Arab Emirates,971,ARE,97150,0.18,60
United Arab Emirates,971,ARE,97156,0.18,60
Argentina,54,ARG,54,0.0413,60
Argentina,54,ARG,5411,0.0097,60
Argentina,54,ARG,54115519,0.963,60
Argentina,54,ARG,54221,0.0116,60
Argentina,54,ARG,54223,0.0116,60
Argentina,54,ARG,54232,0.0284,60
Argentina,54,ARG,54351,0.0116,60
Armenia,374,ARM,374,0.1911,60
Armenia,374,ARM,37410,0.1911,60
Armenia,374,ARM,37447,0.1351,60
Armenia,374,ARM,37455,0.2448,60
Armenia,374,ARM,37497,0.2023,60
Armenia,374,ARM,37498,0.248,60
Armenia,374,ARM,37499,0.2516,60
American Samoa,1684,ASM,1684,0.0416,60
Antarctica,672,ATA,672,2.2975,60
Antarctica,672,ATA,6721,2.2975,60
Antarctica,672,ATA,6723,1.7025,60
Antigua and Barbuda,1268,ATG,1268,0.22178,60
Antigua and Barbuda,1268,ATG,126877,0.3135,60
Antigua and Barbuda,1268,ATG,126878,0.3135,60
Australia,61,AUS,61,0.0204,60
Australia,61,AUS,61000,5.103,60
Australia,61,AUS,61106,5.103,60
Austria,43,AUT,43780,0.0146,60
Austria,43,AUT,43810,0.4031,60
Austria,43,AUT,43820,0.4031,60
Azerbaijan,994,AZE,994,0.283,60
Azerbaijan,994,AZE,99412,0.283,60
Belgium,32,BEL,321159,0.09451,60
Bulgaria,359,BGR,35930519,0.0228,60
Bulgaria,359,BGR,35930529,0.00702,60
